STATION,NAME,DATE,TAVG,TMAX,TMIN,TOBS
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-06-24,,77,69,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-06-25,,79,69,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-06-26,,80,73,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-06-27,,81,72,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-06-28,,87,68,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-06-29,,82,71,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-06-30,,78,70,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-07-01,,70,62,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-07-02,,76,64,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-07-03,,84,70,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-07-04,,83,72,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-07-05,,73,65,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-07-06,,74,66,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-07-07,,75,63,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-07-08,,80,66,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-07-09,,72,66,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-07-10,,82,70,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-07-11,,88,73,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-07-12,,76,66,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-07-13,,80,70,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-07-14,,66,65,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-07-15,,82,71,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-07-16,,92,78,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-07-17,,84,77,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-07-18,,76,72,
