Well_ID,Lat,Lon,Depth,Drink,Si,P,S,Ca,Fe,Ba,Na,Mg,K,Mn,As,Sr,F,Cl,SO4,Br
868,23.78085,90.641967,60,N,24654.75,1.57674,13.76,59264.68,7.3724,107.02,9.39068,17.35,3342.33,0.7,358.14,260.26,0.2804,8.5155,0.1471,0.0221
869,23.780183,90.642483,80,Y,,,,,,,,,,,,,,,,
896,23.77935,90.6408,45,Y,30661.03,1.35626,2650.05,49034.21,15.53252,113.15,32.96297,19.26,3396.32,1.95,144.35,228.48,0.173,49.2251,6.8687,0.0282
901,23.7797,90.641167,45,N,,,,,,,,,,,,,,,,
917,23.779617,90.639383,45,N,,,,,,,,,,,,,,,,
922,23.780033,90.63995,45,N,,,,,,,,,,,,,,,,
943,23.78245,90.638917,45,Y,,,,,,,,,,,,,,,,
944,23.781817,90.638283,75,N,33576.24,0.73396,208.06,70891.39,4.55444,109.27,14.01608,24.86,4190.81,1.87,282,289.16,0.2025,17.3717,0.4885,0.0172
953,23.779933,90.63845,85,N,,,,,,,,,,,,,,,,
955,23.78005,90.63825,105,N,26387.23,1.35565,16.07,80298.82,11.8055,176.21,20.82832,30.02,4468.95,0.37,319.19,434.86,0.1741,37.7899,0.1348,0.0381
967,23.780917,90.636233,105,N,25596.92,0.59214,14.12,82766.64,9.77162,170.98,21.34872,27.33,4298,0.66,187.14,397.88,0.1723,69.5283,0.135,0.0568
979,23.780683,90.635083,45,N,26955.37,1.21706,1.91,50800.17,5.24593,83.87,11.41028,17.97,3599.2,0.55,220.03,227.2,0.3374,7.5598,0.138,0.0115
981,23.780317,90.636567,75,N,,,,,,,,,,,,,,,,
986,23.780017,90.635183,45,N,,,,,,,,,,,,,,,,
993,23.78095,90.633067,45,N,22767.86,1.2247,1.51,55969.84,8.53281,108.43,12.74893,19.83,3748.32,0.94,257.41,251.67,0.2616,15.4141,0.1411,0.0258
1005,23.7795,90.633067,50,Y,34710.34,0.83882,36.9,92146.28,2.70048,111.37,22.88525,28.43,4589.45,1.17,149,366.64,0.2099,55.4561,0.2503,0.0406
1007,23.779833,90.633683,45,Y,,,,,,,,,,,,,,,,
1008,23.784917,90.614367,45,Y,30947.78,0.15115,1254.29,19043.54,1.38112,45.29,43.56133,11.28,3333.86,0.76,38.03,82.65,0.1269,21.4893,3.2649,0.0223
