STATION,NAME,DATE,DASF,MDSF,PRCP,SNOW
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-06-26,,,0.02,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-06-27,,,0.67,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-06-28,,,0.2,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-06-29,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-06-30,,,0.26,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-07-01,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-07-02,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-07-03,,,0.42,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-07-04,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-07-05,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-07-06,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-07-07,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-07-08,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-07-09,,,0.52,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-07-10,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-07-11,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-07-12,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-07-13,,,0.1,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-07-14,,,0.18,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-07-15,,,0.05,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-07-16,,,0.38,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-07-17,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-07-18,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-07-19,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-07-20,,,0.04,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-07-21,,,0.64,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-07-22,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-07-23,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-07-24,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-07-25,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-07-26,,,0.55,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-07-27,,,0.23,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-07-28,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-07-29,,,0.09,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-07-30,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-07-31,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-08-01,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-08-02,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-08-03,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-08-04,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-08-05,,,0.37,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-08-06,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-08-07,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-08-08,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-08-09,,,0,0
