Well_ID,Lat,Lon,Depth,Drink,Si,P,S,Ca,Fe,Ba,Na,Mg,K,Mn,As,Sr,F,Cl,SO4,Br
3018,24.76,89.79,120,Y,,,,,,,,,,,,,,,,
3025,24.11,90.22,45,Y,46679.14,0.64741,4580.31,70579.66,1.15621,75.33,29.06649,24.88,3792.16,1.23,172.68,259.27,0.2332,49.1249,12.37,0.0211
3032,24.27,90.68,60,Y,46948.24145,1.849811118,35853.23293,67781.81342,1.656259943,77.21636584,60.49296956,35.24723223,,0.612787341,15.42701021,106.7330683,0.0836,170.2099,104.2403,0.1979
3042,24.61,91.1,120,Y,64370.09023,0.152013923,840.9725903,11605.67802,0.597977249,15.54075647,51.01445858,5.409139712,1175.03973,0.045678977,0.381830171,93.32548565,0.3982,33.4566,2.2318,0.1038
3058,23.92,90.47,60,Y,,,,,,,,,,,,,0.1166,110.248,34.2441,0.0313
3060,24.52,91.07,145,Y,,,,,,,,,,,,,,,,
3060,23.62,91.56,60,Y,37199.96208,0.949836887,13.69497823,51862.73844,10.06195031,119.5698752,11.64191782,19.90450648,7806.94907,1.376403252,154.6764134,230.8238149,0.2422,12.7629,0.1512,0.0201
3061,23.02,89.74,50,N,,,,,,,,,,,,,,,,
3103,23.33,90.12,130,Y,,,,,,,,,,,,,,,,
3110,23.08,91.49,75,Y,,,,,,,,,,,,,,,,
3112,24.43,91.05,45,Y,41513.82677,1.697027212,14.93361817,47308.53575,14.96144885,133.8531703,22.60691365,17.73065833,,0.913209748,130.1089059,182.3780722,0.1951,22.9864,0.2077,0.0278
3119,23.97,91.4,45,Y,49486.04857,0.122758183,10355.43174,55082.57902,1.347130675,100.3533034,49.18246025,34.85619033,,2.786047145,48.30611931,182.1271402,0.1004,77.0646,30.2623,0.0395
3179,23.18,90.78,50,Y,,,,,,,,,,,,,,,,
3183,24.46,91.26,45,Y,38147.5172,1.529759568,846.873066,49556.55419,5.262778213,88.15193422,12.07702742,17.86625281,,0.532076368,75.78516026,186.3080658,0.2094,20.7507,2.3144,0.013
3189,24.05,90.05,160,Y,63758.49573,3.257855895,67.52975678,42134.21266,10.62131947,21.93435031,39.37396713,43.10294348,6722.419907,0.185380772,11.84026262,302.0370806,0.2202,65.9724,0.1708,0.1099
3214,23.82,90.29,45,Y,,,,,,,,,,,,,,,,
3231,23.36,91.12,30,Y,,,,,,,,,,,,,,,,
3255,24.52,90.83,45,Y,49162.3077,0.343975726,2910.615555,40413.40766,2.146536986,72.08595937,21.29250559,21.03064558,,1.560197576,61.06588177,150.4047515,0.0827,25.0334,8.3055,0.0065
3261,23.05,89.67,50,Y,49267.24875,0.806298031,8698.531446,51704.70908,18.84223579,190.4999458,24.64032571,25.0760982,,4.257433484,150.2327011,266.0342706,0.075,68.9953,26.2332,0.0334
3269,23.95,90.89,67,N,45844.86449,0.404160614,1211.845136,40789.25894,19.04519914,108.3755795,16.44342025,27.3556995,,1.634002079,56.04017221,118.8938003,0.0832,31.2981,3.0619,0.0368
3275,24.74,91.06,55,Y,54650.03113,0.094538417,364.7153371,40615.61351,1.167561809,60.07517117,11.66130639,13.90611962,1600.18504,2.288057667,41.58887811,199.4337275,0.0923,15.5095,0.9107,0.0136
3337,24.65,89.72,45,Y,,,,,,,,,,,,,,,,
3339,24.29,89.73,120,Y,23995.58,1.33584,25.65,3577.16,1.73495,24.99,74.4066,3.39,2183.08,0.06,76.68,34.47,1.5958,54.8291,,0.1922
3368,24.35,89.72,50,Y,49762.73012,0.214347317,11277.40617,55739.99074,5.312974218,114.9941566,57.64390727,36.54930781,,2.512453308,27.72950309,211.3842688,0.1637,12.6249,0.1619,0.0274
3375,23.79,89.92,45,Y,31096.91,0.32085,7689.44,59743.39,0.90479,101.58,41.24647,25.77,5221.17,2.68,21.26,211.72,1.542,54.4183,0.137,0.1751
3390,24.66,89.77,105,N,40749.74242,0.900268378,927.9926344,43521.64193,17.23292773,113.9531885,40.44976064,17.16963616,4491.109397,1.756386327,257.8023291,248.8301357,,,,
3419,23.11,90.35,45,N,,,,,,,,,,,,,,,,
3452,23.15,91.33,60,Y,,,,,,,,,,,,,0.2318,40.7127,14.1781,0.0415
3460,23.11,91.65,35,Y,43473.15948,0.6664113,2059.672767,34561.70595,7.082351751,79.674488,13.16568264,17.48245273,,2.102079835,128.7577221,159.4880465,0.0774,21.7384,5.9462,0.0097
3476,24.75,89.9,75,N,45793.66876,1.721056536,90.43272951,47577.5242,11.50292729,107.4902337,18.65891231,13.56556003,,1.193614782,139.6963927,245.4186909,0.2349,27.2639,0.2653,0.025
3482,24.61,90.55,105,Y,,,,,,,,,,,,,,,,
3487,24.21,89.96,45,Y,47302.38264,0.078119511,606.0344949,58785.30287,4.39097914,118.4643553,68.03489081,34.91951074,,2.4190428,14.08369802,183.6695447,0.0412,113.5228,1.4942,0.2348
3493,23.25,90.41,60,Y,52006.98386,1.038610578,10906.99584,102525.0868,6.097139834,228.0971041,50.37510578,51.35110308,,2.1337134,68.55654806,398.0632332,0.1246,170.4603,32.0809,0.1053
3496,23.62,90.55,130,Y,,,,,,,,,,,,,,,,
3506,23.43,90.86,36,Y,44431.72899,0.751827731,1505.376995,22472.57021,8.206233594,89.53088962,11.35168552,14.64701185,,1.678952894,100.8598165,102.3449329,0.0906,8.1829,4.5299,0.0069
3522,23.79,91.27,30,Y,46529.02552,0.115845076,742.058879,32596.62813,4.216852564,66.61555086,15.88862248,22.00653836,799.2545162,2.396539263,45.40610141,98.7499879,0.1529,26.3656,2.1089,0.0068
3526,22.93,91.21,45,Y,,,,,,,,,,,,,,,,
3534,23.07,90.61,45,Y,55002.74552,0.284185709,4965.740828,41990.01785,1.804582908,72.38585995,30.16829582,24.85206125,,2.45159335,64.36637118,130.4092521,0.1206,49.8641,14.7149,0.0286
3546,23.07,90.78,150,Y,,,,,,,,,,,,,,,,
3551,24.58,90.53,60,Y,43059.21,0.60727,1747.55,59670.2,6.8641,81.95,26.46456,27.4,4115.36,2.32,85.81,234.2,0.1423,68.4782,4.4067,0.047
3562,24.53,90.75,45,Y,,,,,,,,,,,,,,,,
3573,24.42,91.2,45,Y,,,,,,,,,,,,,,,,
3606,24.77,91.5,140,Y,48439.9,0.40186,25.06,7711.72,2.58312,13.56,46.13495,4.9,993.05,0.08,6.03,67.24,0.5378,24.0559,0.1534,0.0485
3616,24.22,91.24,45,Y,,,,,,,,,,,,,,,,
3622,23.64,89.97,165,Y,48009.18,0.09451,6904.55,31325.86,4.66096,47.9,35.57117,16.32,842.73,1.28,0.92,229.86,0.3452,25.0664,20.2864,0.0175
3627,24.58,90.46,60,Y,41875.77515,1.56518869,11900.4646,56444.11382,10.07056703,284.4461422,40.31349709,28.70382974,,0.809359015,15.52715276,202.8528198,0.1072,71.5019,35.6737,0.0716
3627,24.43,90.01,60,N,36313.47,1.70507,13200.04,25286.98,7.9557,135.33,72.87067,16.85,5893.97,0.43,143.95,212.61,0.2886,106.6496,33.7418,0.1089
3630,23.86,90.26,45,Y,34882.78866,0.348148129,1398.901221,47268.93374,26.86945288,176.7917075,51.44023259,23.69069022,,2.604976039,53.37529843,169.9824898,0.1542,95.1489,3.5746,0.0302
3640,23.16,91.33,108,Y,50051.79256,1.588233345,81.73940091,23676.15648,9.828950176,24.9135826,39.0352837,17.99995596,4198.812394,0.336199404,11.47965227,248.3835097,0.1982,24.5488,0.6066,0.0786
3673,22.87,91.38,50,N,51100.09851,0.742471742,184.9549846,42345.98736,6.467072748,66.3356649,13.20587735,17.46929001,,1.918722171,172.3587642,182.8291806,0.1389,17.0319,0.4954,0.028
3697,24.05,91.25,140,Y,,,,,,,,,,,,,,,,
3701,23.33,91.63,185,Y,,,,,,,,,,,,,0.5604,7.8197,0.5005,0.0138
3710,23.02,90.01,55,Y,,,,,,,,,,,,,,,,
3728,22.88,91.24,75,Y,40810.84088,1.959318323,1090.916257,39335.42587,7.124560115,182.1660551,12.13637436,18.24858989,,0.47681133,43.55369204,158.3684141,0.2024,21.1753,2.8913,0.015
3730,23.94,91.62,30,Y,31821.06414,0.01002364,16809.92133,50251.91927,0.781612814,133.210532,56.11503884,29.47324202,5952.727129,0.350396169,0.109664547,197.5111779,0.1342,99.1877,48.3355,0.0349
3749,23.7,89.87,125,Y,,,,,,,,,,,,,,,,
3756,23.92,90.25,60,Y,,,,,,,,,,,,,,,,
3796,23.28,90.93,60,Y,,,,,,,,,,,,,,,,
3801,24.62,91.13,60,Y,,,,,,,,,,,,,,,,
3804,24.3,91,190,Y,54924.4967,0.107188683,1806.652483,41644.33729,7.997981716,113.9747718,31.23890318,23.85311945,2547.143787,0.497614391,8.764589658,310.3410165,0.1556,49.6615,4.3459,0.0278
3827,23.08,91.08,60,Y,34178.23598,1.365838976,39.10218341,44405.8195,9.783654331,109.029727,16.34718681,19.39662049,5678.172969,1.101121275,218.004379,208.2828745,0.2732,17.1762,0.1566,0.0345
3837,24,90.78,30,Y,39032.75069,0.404606053,2133.514,34572.24532,10.41052862,105.2416706,17.90944791,16.44392907,3647.368362,3.182039721,125.2476215,130.5152221,0.111,37.5369,5.6422,0.0345
3839,23.01,90.88,70,Y,,,,,,,,,,,,,,,,
3841,24.09,90.42,45,Y,37909.14,0.47131,50.77,47150.7,1.71257,58.7,14.766,14.97,3029.44,1.02,144.58,180.95,0.2192,13.0815,0.2256,0.0212
3859,23.02,91.27,50,Y,41747.7,0.18209,1733.39,41035.61,4.39521,50.69,10.9806,14.24,3262.4,2.02,39.01,157.72,0.0791,25.3689,4.7923,0.0228
3860,22.81,91.27,45,Y,41214.21269,0.797769033,1130.176472,31720.72649,3.989835577,55.42303396,15.17021586,11.77532118,18.85585373,1.565737378,100.6516492,135.8686711,0.1502,15.4835,1.6546,
3873,23,89.84,60,N,70304.05795,0.112310636,1395.390508,27434.20897,0.509604152,84.67183477,34.87020407,16.13250096,,0.470986053,1.368709053,217.1082627,0.112,72.964,4.2523,0.2128
3891,24.77,91.45,30,Y,,,,,,,,,,,,,,,,
